seg_id_nat,model,data_sparsity,rmse,bias,n_obs_test
1435,GDN,2,2.4318308157351707,0.21379690670712104,374
1435,GDN,100,1.9915892303343656,0.837022248691416,374
1435,HGN,2,2.109992233334458,0.7866558111606434,374
1435,HGN,100,2.1059472840518434,0.7335117702496879,374
1435,proposed,2,2.002935011754591,0.7843338516625491,374
1435,proposed,100,1.769245094432249,-0.22967680530114615,374
1435,sim_proposed,100,2.524571932232581,-0.5902597582913975,374
1435,sim_temp_composite,100,2.88223279099919,-1.1846757860962567,374
1435,sim_temp_SNTemp,100,2.88223279099919,-1.1846757860962567,374
1436,GDN,2,2.2388592175913598,-1.020915858176918,914
1436,GDN,100,1.5700259386412903,-0.8587685266261028,914
1436,HGN,2,2.2374903149219616,-0.7867953958344407,914
1436,HGN,100,1.4324876234202129,-0.4931458312129557,914
1436,proposed,2,1.3651015056721651,0.035411368274584375,914
1436,proposed,100,1.4213012757297396,-0.3865434635389816,914
1436,sim_proposed,100,2.325357989983766,0.6086104196844789,914
1436,sim_temp_composite,100,2.897336847393121,-1.5071375438140044,914
1436,sim_temp_SNTemp,100,2.897336847393121,-1.5071375438140044,914
1437,GDN,2,1.8274353270510848,-1.1008233890996235,577
1437,GDN,100,1.2227399641026504,-0.274956750002023,577
1437,HGN,2,1.1159546843848824,0.04840167791839283,577
1437,HGN,100,1.0149915794081488,0.24734411741666612,577
1437,proposed,2,1.1344092067556841,-0.0041339717869948635,577
1437,proposed,100,1.136688110423591,-0.387434484557841,577
1437,sim_proposed,100,2.2984863946745215,0.5290687919696034,577
1437,sim_temp_composite,100,2.8469810449767587,-1.7012445914142114,577
1437,sim_temp_SNTemp,100,2.8469810449767587,-1.7012445914142114,577
1438,GDN,2,NA,NA,0
1438,GDN,100,NA,NA,0
1438,HGN,2,NA,NA,0
1438,HGN,100,NA,NA,0
1438,proposed,2,NA,NA,0
1438,proposed,100,NA,NA,0
1438,sim_proposed,100,NA,NA,0
1438,sim_temp_composite,100,NA,NA,0
1438,sim_temp_SNTemp,100,NA,NA,0
1439,GDN,2,NA,NA,0
1439,GDN,100,NA,NA,0
1439,HGN,2,NA,NA,0
1439,HGN,100,NA,NA,0
1439,proposed,2,NA,NA,0
1439,proposed,100,NA,NA,0
1439,sim_proposed,100,NA,NA,0
1439,sim_temp_composite,100,NA,NA,0
1439,sim_temp_SNTemp,100,NA,NA,0
1440,GDN,2,1.880101491704493,-1.0008015052921275,197
1440,GDN,100,1.4483484079615934,-0.30529393260249027,197
1440,HGN,2,2.2301377122331387,-1.480198003434893,197
1440,HGN,100,1.2094301883116423,-0.5591290736561499,197
1440,proposed,2,1.437061048737345,-0.1568046724735783,197
1440,proposed,100,1.3801882690811982,-0.16207508278377167,197
1440,sim_proposed,100,2.4156615032434763,1.0385783243905469,197
1440,sim_temp_composite,100,2.786626104785505,-1.631288141573604,197
1440,sim_temp_SNTemp,100,2.786626104785505,-1.631288141573604,197
1441,GDN,2,2.4385320819123133,-1.5058041967377804,202
1441,GDN,100,1.5002720862376442,-0.4247529117187651,202
1441,HGN,2,2.846900775080268,-2.0121601855400764,202
1441,HGN,100,1.3518706786548125,0.2893621874327707,202
1441,proposed,2,1.8492971041898163,-0.13846077511806298,202
1441,proposed,100,1.4192771559391815,0.07059635443262535,202
1441,sim_proposed,100,2.2476548264479734,0.9982869424442253,202
1441,sim_temp_composite,100,2.668452708882351,-1.652935087029703,202
1441,sim_temp_SNTemp,100,2.668452708882351,-1.652935087029703,202
1442,GDN,2,8.707600593566895,-8.707600593566895,1
1442,GDN,100,6.545412063598633,-6.545412063598633,1
1442,HGN,2,4.788000106811523,-4.788000106811523,1
1442,HGN,100,5.453586578369141,-5.453586578369141,1
1442,proposed,2,6.466965675354004,-6.466965675354004,1
1442,proposed,100,4.252009391784668,-4.252009391784668,1
1442,sim_proposed,100,2.143239974975586,-2.143239974975586,1
1442,sim_temp_composite,100,3.0700000000000003,-3.0700000000000003,1
1442,sim_temp_SNTemp,100,3.0700000000000003,-3.0700000000000003,1
1443,GDN,2,0.9908550262451179,0.9908550262451179,1
1443,GDN,100,0.14479808807373118,0.14479808807373118,1
1443,HGN,2,0.7475698471069343,0.7475698471069343,1
1443,HGN,100,0.5807067871093743,-0.5807067871093743,1
1443,proposed,2,0.36660308837890554,-0.36660308837890554,1
1443,proposed,100,0.011533546447754617,0.011533546447754617,1
1443,sim_proposed,100,2.363861846923829,2.363861846923829,1
1443,sim_temp_composite,100,1.5199999999999996,1.5199999999999996,1
1443,sim_temp_SNTemp,100,1.5199999999999996,1.5199999999999996,1
