cluster,model,percent_trn_data,mean_rmse,sd_rmse,mean_n_obs_test,sd_n_obs_test
0,GMAML,1,2.042336969461513,1.5287516400337935,167.5909090909091,299.01624115350813
0,GMAML,100,1.7335671524235783,1.214191311816162,167.5909090909091,299.01624115350813
0,HGN,1,2.132931508167624,1.199028455869143,167.5909090909091,299.01624115350813
0,HGN,100,1.7478221216178247,1.0617745189565435,167.5909090909091,299.01624115350813
0,MTHGN,1,1.975067271293926,1.4681697011380865,167.5909090909091,299.01624115350813
0,MTHGN,100,1.8952527185071437,1.5267210234842818,167.5909090909091,299.01624115350813
1,GMAML,1,2.5861922657969947,1.2408124589301306,86.79245283018868,321.5031575637324
1,GMAML,100,2.064384622994686,1.0714583069841164,86.79245283018868,321.5031575637324
1,HGN,1,2.413015319298287,1.211648488523318,86.79245283018868,321.5031575637324
1,HGN,100,2.2048360682870953,1.1063448427354046,86.79245283018868,321.5031575637324
1,MTHGN,1,2.3512580581825695,1.2045317904771653,86.79245283018868,321.5031575637324
1,MTHGN,100,1.9838303941150734,1.1153558226275961,86.79245283018868,321.5031575637324
2,GMAML,1,2.515385361347069,1.9910329822605788,999.5744680851063,1825.6843713199103
2,GMAML,100,2.200736192524946,2.0190964175332953,999.5744680851063,1825.6843713199103
2,HGN,1,2.5772810383801876,1.7262148822119765,999.5744680851063,1825.6843713199103
2,HGN,100,2.292838977221972,1.9149710974725058,999.5744680851063,1825.6843713199103
2,MTHGN,1,2.34359589685201,1.693483481458605,999.5744680851063,1825.6843713199103
2,MTHGN,100,2.2414755782682314,1.3090542494168147,999.5744680851063,1825.6843713199103
3,GMAML,1,1.9686411181751444,1.013725147533504,89.04255319148936,223.2773628439679
3,GMAML,100,1.7371140866469457,1.1254889306534694,89.04255319148936,223.2773628439679
3,HGN,1,2.114676320225747,1.0744149363205115,89.04255319148936,223.2773628439679
3,HGN,100,1.9138341496901206,1.0599660994048086,89.04255319148936,223.2773628439679
3,MTHGN,1,1.8688604982422559,1.081881906357794,89.04255319148936,223.2773628439679
3,MTHGN,100,1.7763589090680914,1.2414895721474128,89.04255319148936,223.2773628439679
4,GMAML,1,1.945904780053069,1.0869563043536836,489.35483870967744,1205.4830165646492
4,GMAML,100,1.4266703450887601,0.7787752326344117,489.35483870967744,1205.4830165646492
4,HGN,1,1.8362120796499852,0.9276013644032787,489.35483870967744,1205.4830165646492
4,HGN,100,1.6821403054954343,0.7479784170199486,489.35483870967744,1205.4830165646492
4,MTHGN,1,1.5669363833853853,0.5784122595458983,489.35483870967744,1205.4830165646492
4,MTHGN,100,1.325072871412649,0.7322057396579787,489.35483870967744,1205.4830165646492
5,GMAML,1,1.8207878501244612,0.8006533737538825,314.25,1034.6703349993463
5,GMAML,100,1.4445631602512614,0.6427056570348141,314.25,1034.6703349993463
5,HGN,1,1.8334459022503462,0.8308942020432091,314.25,1034.6703349993463
5,HGN,100,1.7683992540755158,0.7216941763016238,314.25,1034.6703349993463
5,MTHGN,1,1.8203923534950335,0.7309116972780499,314.25,1034.6703349993463
5,MTHGN,100,1.3499601230700846,0.592908461870289,314.25,1034.6703349993463
6,GMAML,1,2.1381382800044193,0.6651695375879156,157.21153846153845,433.3212971121083
6,GMAML,100,1.6811980645977642,0.600784199071747,157.21153846153845,433.3212971121083
6,HGN,1,2.003597999505272,0.6778903556491196,157.21153846153845,433.3212971121083
6,HGN,100,1.8335520052045642,0.889600412709361,157.21153846153845,433.3212971121083
6,MTHGN,1,2.269012977197903,0.5548949514202131,157.21153846153845,433.3212971121083
6,MTHGN,100,1.5980874481715879,0.575483267543283,157.21153846153845,433.3212971121083
7,GMAML,1,1.9355996875317307,0.7911855756998839,364.05555555555554,651.2872748481157
7,GMAML,100,1.8986254018373305,0.6260204195408078,364.05555555555554,651.2872748481157
7,HGN,1,2.022552685574299,0.6822623007499059,364.05555555555554,651.2872748481157
7,HGN,100,1.7580298770309881,0.5727220235236098,364.05555555555554,651.2872748481157
7,MTHGN,1,1.9649757466227615,0.570076153278909,364.05555555555554,651.2872748481157
7,MTHGN,100,1.7008416261788197,0.5781036586528072,364.05555555555554,651.2872748481157
8,GMAML,1,2.537151809929228,0.8406700883401598,764.2,1459.5900337651894
8,GMAML,100,2.2891082928275304,0.9500450419667451,764.2,1459.5900337651894
8,HGN,1,2.645991516931502,0.7350116223912575,764.2,1459.5900337651894
8,HGN,100,2.5040883789337456,0.8917931437648449,764.2,1459.5900337651894
8,MTHGN,1,2.7577258295741953,0.894623664748305,764.2,1459.5900337651894
8,MTHGN,100,2.3731340817294764,1.2540585870424505,764.2,1459.5900337651894
9,GMAML,1,1.6309714632661496,0.592509060017352,303.3207547169811,832.84486443443
9,GMAML,100,1.605890320488942,0.7800881043635313,303.3207547169811,832.84486443443
9,HGN,1,1.6737224469871943,0.6057207511921177,303.3207547169811,832.84486443443
9,HGN,100,1.6474220532728354,0.792776484215555,303.3207547169811,832.84486443443
9,MTHGN,1,1.688966371519061,0.6876983985940458,303.3207547169811,832.84486443443
9,MTHGN,100,1.6069138413012674,0.8962811960652778,303.3207547169811,832.84486443443
